"Geographic","Habitat","Type_interaction","Metabolic_consumer","Metabolic_resource","K_consumer","P_consumer","C_consumer","O_consumer","K_resource","P_resource","C_resource","O_resource","Mass_consumer","Mass_resource"
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,1e-08
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,1.5e-08
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,7e-08
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,1e-07
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,1.35e-07
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,2.6e-07
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,3.7e-07
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,5.9e-07
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Maxillopoda","Cyclopoida","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,8.95e-06
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Maxillopoda","Calanoida","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,1.44e-05
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Maxillopoda","Cyclopoida","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,2.44e-05
"Antarctica: Eastern Weddell Sea","freshwater","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Maxillopoda","Cyclopoida","Animalia","Arthropoda","Maxillopoda","Cyclopoida",8.95e-06,3.22e-05
"Europe, Celtic Sea ecosystem","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",9.88e-06,2e-05
"Europe, Celtic Sea ecosystem","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",9.88e-06,3e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Arachnida","Araneae","Animalia","Arthropoda","Arachnida","Araneae",1e-05,1e-05
"Country: United States of America; Atlantic coast","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-05
"Country: United States of America; Atlantic coast","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,3e-05
"Norway, The Netherlands","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,3.09e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,3.09e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,3.28e-05
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,4e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,4e-05
"Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,4.39e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,4.39e-05
"Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,6.48e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,6.48e-05
"Europe, USA, Arctic, India","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,6.54e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,6.54e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,8.57e-05
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,1e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.000144
"North/Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.000146
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.000146
"Norway, The Netherlands","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.000172
"North/Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-04
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-04
"Netherlands, Germany, Hungaria","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-04
"Europe, USA, Arctic, India","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,2e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00028
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,3e-04
"North/Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.000321
"Norway, The Netherlands","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00035
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00035
"Country: United States of America; Atlantic coast","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,4e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,4e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00058
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,6e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,6e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,7e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Arachnida","Araneae","Animalia","Arthropoda","Arachnida","Araneae",1e-05,8e-04
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Arachnida","Araneae","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.000805
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00125
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00125
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00156
"Norway, The Netherlands","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00157
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.00157
"Antarctica: Eastern Weddell Sea","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.0019
"Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",1e-05,0.0024
"Country: United States of America; Atlantic coast","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,2e-05
"Europe, USA, Arctic, India","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,3e-05
"Country: United States of America; Atlantic coast","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,3.67e-05
"Europe, USA, Arctic, India","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,5e-05
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,1e-04
"Norway, The Netherlands","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,1e-04
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,2e-04
"Mid-Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,2e-04
"Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,2e-04
"Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Thysanoptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,2e-04
"Europe, USA, Arctic, India","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,0.000249
"Europe","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,4e-04
"worlwide","terrestrial","predacious","invertebrate","invertebrate","Animalia","Arthropoda","Insecta","Diptera","Animalia","Arthropoda","Arachnida","Araneae",1.17e-05,0.000615
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Chaetophorales","Animalia","Arthropoda","Insecta","Diptera",1.19e-05,4.19e-11
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Araeolaimida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,2.6e-08
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Secernentea","Aphelenchida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,3.8e-08
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Araeolaimida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,4.8e-08
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Desmodorida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,6.2e-08
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Araeolaimida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,6.9e-08
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Secernentea","Tylenchida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.08e-07
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Araeolaimida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.09e-07
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Secernentea","Rhabditida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.15e-07
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Desmodorida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.25e-07
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Secernentea","Tylenchida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.3e-07
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Enoplida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.35e-07
"Country: Switzerland; Lake Neuch�tel","soil, freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Secernentea","Tylenchida","Animalia","Nemata","Adenophorea","Dorylaimida",1.2655e-05,1.36e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.32e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.53e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Chlorococcales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,4.07e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Chlorococcales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,6.37e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,6.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Pyrrophycophyta","Dinophyceae","Peridiniales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.58e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Nostocales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.61e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.64e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Charophyta","Conjugophyceae","Zygnematales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,3.71e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,3.86e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Pyrrophycophyta","Dinophyceae","Peridiniales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,5.2e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Ochromonadales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,6.28e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,6.32e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1e-08
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Tetrasporales","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,1.08e-08
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,3.7e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Animalia","Arthropoda","Branchiopoda","Diplostraca",1.36e-05,4e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Desmodorida","Animalia","Nemata","Adenophorea","Dorylaimida",1.4339e-05,1.25e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","predacious","invertebrate","invertebrate","Animalia","Nemata","Adenophorea","Enoplida","Animalia","Nemata","Adenophorea","Dorylaimida",1.4339e-05,1.35e-07
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,1.32e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Chlorococcales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,4.07e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Chlorococcales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,6.37e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,6.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Pyrrophycophyta","Dinophyceae","Peridiniales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,1.58e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,1.64e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Charophyta","Conjugophyceae","Zygnematales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,3.71e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,3.86e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Pyrrophycophyta","Dinophyceae","Peridiniales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,5.2e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Ochromonadales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,6.28e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,6.32e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Tetrasporales","Animalia","Arthropoda","Maxillopoda","Calanoida",1.44e-05,1.08e-08
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.46e-05,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.46e-05,1.98e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.46e-05,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.46e-05,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.46e-05,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",1.46e-05,1.31e-09
