ASSESSID,ASSESSORID,STOCKID,RECORDER,DATERECORDED,DATELOADED,ASSESSYEAR,ASSESSSOURCE,CONTACTS,NOTES,PDFFILE,ASSESS,REFPOINTS,ASSESSMETHOD,ASSESSCOMMENTS,XLSFILENAME,MOSTRECENT
WGNSSK-SOLENS-1956-2006-MINTO,WGNSSK,SOLENS,MINTO,2008-04-13,2011-07-25,1956-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,XSA,"Retrospective patterns from previous years suggested that F has been underestimated in previous years, and SSB overestimated. This was also confirmed in this yearâÄôs assessment results.",../spreadsheets/MINTO-SOLENS-2007-editedDR-QAQC.xls,yes
AFSC-NROCKGA-1959-2008-MELNYCHUK,AFSC,NROCKGA,MELNYCHUK,2009-04-17,2011-07-25,1959-2008,http://www.afsc.noaa.gov/refm/docs/2008/GOAnorthern.pdf,Jonathan Heifetz,"Catch from 1961-1976 estimated as fixed proportion of multi-species total; Catch from 1977-1983 estimated based on proportion of multi-species total in foreign fleet via observers; Catch from 1984-1989 estimated as fixed proportion of multi-species total; Catch from 1990-1992 estimated based on proportion of multi-species total in domestic fleet via observers; Catches from 1993-present were available directly from NMFS 
domestic fisheries observer data.  Estimates of total biomass, SSB, and rec were presented in 2007 assessment only for years 1977 onwards (or 1975 for rec year class). Estimates for 1961-1976 obtained from Dana Hanselman, pers. comm. 
F was only presented in a figure in 2007 assessment, values obtained from Dana Hanselman, pers. comm.",AFSC-NROCKGA-2008-Northern rockfish GA.pdf,1,1,AD-CAM,2008 assessment was only an update. full assessment conducted in 2007. filename: AFSC-NROCKGA-2007-Northern rockfish GA.pdf,../spreadsheets/MELNYCHUK-NROCKGA-2008-editedDR.xls,yes
NEFSC-SCALLGB-1964-2006-HART,NEFSC,SCALLGB,HART,2009-04-22,2011-07-25,1964-2006,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0716/,,,SeaScallop2007.pdf,1,1,AD-CAL,CASA model,../spreadsheets/HART-SEASCALLOPGB-2007-editedDR.xls,yes
NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ,NEFSC,HERRNWATLC,OVERHOLTZ,2009-04-29,2011-07-25,1960-2005,http://www.mar.dfo-mpo.gc.ca/science/TRAC/TSRs%5CTSR_2006_01_E.pdf,,,Herring2006.pdf,1,1,AD-CAM,,../spreadsheets/OVERHOLTZ-ATLHERRING-2008-editedOJ.xls,yes
WGBFAS-CODKAT-1970-2006-MINTO,WGBFAS,CODKAT,MINTO,2008-04-15,2011-07-25,1970-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,Assessment covers inner part of IIIa -the Kattegat,ICES-WGBFAS-2007.pdf,1,1,B-ADAPT,"Due to high level of discarding of especially age-group 1, recruitment estimates from the catch at age analyses not including discards are considered uncertain. The face value for SSB from both XSA and B-Adapt analyses should be treated with caution due to problematic catch data and also relatively noisy survey indices.",../spreadsheets/MINTO-CODKAT-2007-editedDR-QAQC.xls,yes
WGSSDS-PLAICECHW-1975-2006-JENNINGS,WGSSDS,PLAICECHW,JENNINGS,2008-11-23,2011-07-25,1975-2006,http://www.ices.dk,NULL,NULL,ICES-WGSSDS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-PLEECHW-1976-2007-editedDR-QAQC.xls,yes
NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,NEFSC,WINFLOUN5Z,HENDRICKSON,2009-04-20,2011-07-25,1982-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/crd0815.pdf,,Stock under rebuilding program with 2018 deadline.,garm3k.pdf,1,1,ADAPT,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/HENDRICKSON-WINTERFLGB-2008-editedDR.xls,yes
NEFSC-WEAKFISHATLC-1981-2008-STANTON,NEFSC,WEAKFISHATLC,STANTON,2010-04-11,2011-07-25,1981-2008,http://www.nefsc.noaa.gov/publications/crd/crd0910/,,,NEFSC-Weakfish-2009.pdf,1,1,ADAPT,Assessment category classified as VPA,../spreadsheets/STANTON-WEAKFISHATLC-2009-v2-editedDR-QAQC.xls,yes
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,SWFSC,STFLOUNSPCOAST,STANTON,2009-04-07,2011-07-25,1970-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,SOUTH part of PCOAST only. Separate assessment for North ,2005-SAFE-WCstarryflounder.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-SouthStarryFlounder-2005-editedDR-QAQC.xls,yes
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,RIDEM,WINFLOUNDRI,COLLIE,2008-04-12,2011-07-25,1959-2007,received from Contact,"Mark Gibson, Rhode Island Department of Environmental Management",data preliminary pending receipt of stock-assessment document,,1,1,AAPM,fit to multiple abundance indices,../spreadsheets/COLLIE-WFRIDEM-2008-editedDR-QAQC.xls,yes
RIDEM-TAUTOGRI-1959-2007-COLLIE,RIDEM,TAUTOGRI,COLLIE,2008-04-12,2011-07-25,1959-2007,received from Contact,"Mark Gibson, Rhode Island Department of Environmental Management, <mark.gibson@dem.ri.gov>",data are preliminary until stock-assessment document is received,,1,1,AAPM,fit to multiple abundance indices and tagging data,../spreadsheets/COLLIE-TORIDEM-2008-editedDR-QAQC.xls,yes
DFO-PAC-HERRQCI-1951-2007-COLLIE,DFO-PAC,HERRQCI,COLLIE,2008-07-30,2011-07-25,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRQCI-2007-editedDR-QAQC.xls,yes
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,NWFSC,BLACKROCKNPCOAST,BRANCH,2008-11-20,2011-07-25,1914-2006,http://www.pcouncil.org/groundfish/gfsafe1008/N_BlackRF_07_FullDoc_INCOMPLETE.pdf,,,NWFSC-BLACKROCKNPCOAST-2007-Black rockfish NOR WA.pdf,1,1,SS2,,../spreadsheets/BRANCH-BLACKROCKNPCOAST-2007-editedDR-QAQC-revised.xls,yes
AFSC-GKINGCRABAIES-1990-2007-JENSEN,AFSC,GKINGCRABAIES,JENSEN,2009-04-13,2011-07-25,1990-2007,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,CRABSAFE2008.pdf,1,1,AD-CAL,,../spreadsheets/JENSEN-GKINGCRABAIES-2008-editedDR-QAQC.xls,yes
NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN,NZMFishMIDDEPTHSWG,NZLINGLIN5-6,JENSEN,2009-03-09,2011-07-25,1972-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,base model,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-PINKLINGNZ5-6-2007-v2-editedDR.xls,yes
DFO-PAC-HERRCC-1951-2007-COLLIE,DFO-PAC,HERRCC,COLLIE,2008-07-30,2011-07-25,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRCC-2007-editedDR-QAQC.xls,yes
HAWG-SPRATNS-1995-2007-MINTO,HAWG,SPRATNS,MINTO,2008-04-15,2011-07-25,1995-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-HAWG-2007.pdf,1,0,CSA,Assessment results are relative and not absolute. TN in time series refers to the relative number of mature individuals.,../spreadsheets/MINTO-SPRATNS-2007-editedDR-QAQC.xls,yes
SWFSC-CMACKPCOAST-1929-2008-PINSKY,SWFSC,CMACKPCOAST,PINSKY,2009-03-27,2011-07-25,1929-2008,http://www.pcouncil.org/cps/cpssafe/0608safe/PFMC_2008_CPS_SAFE_App2_PMackerel.pdf,,,PFMC_2008_CPS_SAFE_App2_PMackerel.pdf,1,1,ASAP,"SS2 method also tried, but not used",../spreadsheets/PINSKY-CMACKPCOAST-2008-editedDR.xls,yes
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,NZMFishMIDDEPTHSWG,NZLINGLIN6b,JENSEN,2009-03-09,2011-07-25,1980-2006,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,base model,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-PINKLINGNZ6b-2006-v2-editedDR.xls,yes
NWFSC-BGROCKPCOAST-1950-2005-STANTON,NWFSC,BGROCKPCOAST,STANTON,2009-05-19,2011-07-25,1950-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,,2005-SAFE-Wcblackgill.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-Blackgill-2005-editedDR.xls,yes
INIDEP-ARGHAKENARG-1985-2007-Parma,INIDEP,ARGHAKENARG,Parma,2008-12-11,2011-07-25,1985-2007,URL,"Susana Bezzi- sbezzi@inidep.edu.ar, Marta Renzi <marenzi@inidep.edu.ar>",,Irusta-hake-N-2007.pdf,1,1,VPA,no comments,../spreadsheets/Parma-AHAKE-ARG-N-2008-editedDR-QAQC.xls,yes
AFSC-PCODBSAI-1964-2008-MELNYCHUK,AFSC,PCODBSAI,MELNYCHUK,2009-04-14,2011-07-25,1964-2008,http://www.afsc.noaa.gov/refm/docs/2008/BSAIpcod.pdf,"Grant Thompson, Grant.Thompson@noaa.gov",catches from 1977-1980 may not include discards; include discards after 1980,AFSC-PCODBSAI-2008-Pacific-cod-BSAI.pdf,1,1,SS2,,../spreadsheets/MELNYCHUK-PCODBSAI-2008-editedDR-QAQC.xls,yes
WGBFAS-HERRRIGA-1976-2007-JENNINGS,WGBFAS,HERRRIGA,JENNINGS,2008-11-21,2011-07-25,1976-2007,http://www.ices.dk,NULL,NULL,ICES-WGBFAS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-HERRIGA-1977-2007-editedDR-QAQC.xls,yes
SFI-WPOLLNSO-1985-1994-JENSEN,SFI,WPOLLNSO,JENSEN,2009-11-10,2011-07-25,1985-1994,peer-reviewed journal,,,WPOLLNSO-1997-JENSEN.pdf,1,1,AAPM,Fox model also available,../spreadsheets/JENSEN-WPOLLNSO-1997-editedDR.xls,yes
DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,DFO-SG,HERR4TSP,PREFONTAINE,2008-06-05,2011-07-25,1974-2007,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Claude Leblanc, claude.leblanc@dfo-mpo.gc.ca","The number of recruits for 2007 are geometric means of 1996-2006. F0.1, Brec, Busr and Blrp are reference points taken from a 2005 report on spring and fall spawning herring called ""Spawning stock biomass reference points for spring and fall spawning herring in the Southern Gulf of St. Lawrence"" and written by Chouinard et al. Data for the time series for spawning stock biomass and fishing mortality were provided by Claude Leblanc.",NAFO-HERR4TFA-2007.pdf,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4TSP-2007-editedRP-QAQC.xls,yes
SWFSC-DSOLEPCOAST-1910-2005-STANTON,SWFSC,DSOLEPCOAST,STANTON,2009-05-18,2011-07-25,1910-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,,2005-SAFE-WCdover.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-DSOLEWC-2005-editedDR-QAQC.xls,yes
WGNSSK-HADROCK-1990-2007-JENNINGS,WGNSSK,HADROCK,JENNINGS,2008-11-20,2011-07-25,1990-2007,http://www.ices.dk,NULL,NULL,ICES-WGNSDS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-HADROCK-1991-2007-editedDR-QAQC.xls,yes
MARAM-ANCHOSA-1984-2006-deMoor,MARAM,ANCHOSA,deMoor,2009-01-16,2011-07-25,1984-2006,Assessment conducted personally,"Carryn de Moor, c.l.demoor@telkomsa.net",,ANCHOSA.pdf,1,1,SCA,,../spreadsheets/deMoor-SAAnchovy-2007-editedDR.xls,yes
NIWA-OROUGHYNZMEC-1981-2004-JENSEN,NIWA,OROUGHYNZMEC,JENSEN,2009-03-24,2011-07-25,1981-2004,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,average of nocpue and beta1 model runs,CORDUEperscomm.pdf,1,1,CASAL,average of nocpue and beta1 model runs,../spreadsheets/JENSEN-OROUGHYMEC-2004-v2-editedDR.xls,yes
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,NZMFishDEEPWATER,BLACKOREOWECR,JENSEN,2009-04-07,2011-07-25,1973-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,Run 2,CORDUEperscomm.pdf,1,1,CASAL,Run 2,../spreadsheets/JENSEN-BLACKOREOWECR-2007-v2-editedDR.xls,yes
NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN,NZMFishLOBSTERWG,RROCKLOBSTERCRA4,JENSEN,2009-04-07,2011-07-29,1945-2005,received from contact,Pall Starr - paul@starrfish.net,,06_17_FAR.pdf,1,0,MSLM,,../spreadsheets/JENSEN-RROCKLOBSTERCRA4-2005-editedDR.xls,yes
CSIRO-NZLINGWSE-1968-2007-FULTON,CSIRO,NZLINGWSE,FULTON,2008-04-30,2011-07-25,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,,../spreadsheets/Fulton-west-ling-australia-2007_v2-editedDR-QAQC.xls,yes
WGNSDS-HADIS-1972-2006-MINTO,WGNSDS,HADIS,MINTO,2008-04-14,2011-07-25,1972-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,Note: F is not estimated for this stock.,ICES-WGNSDS-2007.pdf,1,1,SURBA,The absolute level of F in this stock at present is poorly known. No limit reference points have been set for this stock due to the short time-series of assessment data. ICES has adopted a precautionary Fpa of 0.5 as this is the value for the neighbouring stock in VIa. The final assessment presented is based on survey data alone and therefore no F series is available.,../spreadsheets/MINTO-HADIS-2007-editedDR-QAQC.xls,yes
SEFSC-RSNAPSATLC-1945-2006-JENSEN,SEFSC,RSNAPSATLC,JENSEN,2008-11-22,2011-07-26,1945-2006,http://www.sefsc.noaa.gov/sedar/download/S15%20SAR%201%20Finalfixed.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_RSNAPSATLC_2008.pdf,1,1,SCA,,../spreadsheets/JENSEN-RSNAPSATLC-2008-editedDR.xls,yes
ICCAT-SWORDMED-1968-2006-JENSEN,ICCAT,SWORDMED,JENSEN,2008-11-17,2011-07-25,1968-2006,URL,John Walter - John.F.Walter@noaa.gov,,ICCAT-Mediterranean-Xiphiasgladius-2007.pdf,1,1,ASPIC,no comments,../spreadsheets/JENSEN-SWORDMED-2007-editedDR.xls,yes
SPC-STMARLINSWPO-1950-2003-JENSEN,SPC,STMARLINSWPO,JENSEN,2011-01-14,2011-07-28,1950-2003,http://www.wcpfc.int/doc/sa-wp-6/stock-assessment-striped-marlin-tetrapturus-audax-southwest-pacific-ocean,Shelton Harley - SheltonH@spc.int,,JENSEN-STMARLINSWPAC-2006.pdf,1,1,MULTIFAN-CL,Note: data in this spreadsheet are from the MULTIFAN-CL output files on the website and do not exactly match the numbers in the assesment document,../spreadsheets/JENSEN-STMARLINSWPAC-2006-editedDR.xls,yes
SEFSC-YTSNAPSATLC-1962-2001-STANTON,SEFSC,YTSNAPSATLC,STANTON,2009-06-01,2011-07-27,1962-2001,http://www.sefsc.noaa.gov/sedar/,contact details ,,2003_SEDAR_Yellowtailsnapper.pdf,1,1,SCA,no comments,../spreadsheets/STANTON-YTSNAPSATLC-2003-editedDR-final.xls,yes
ADFG-HERRSITKA-1978-2007-COLLIE,ADFG,HERRSITKA,COLLIE,2008-12-08,2011-07-25,1978-2007,received from Contact,"Peter-John Frederick Hulson, p.hulson@uaf.edu",The data are from ADF&G - Pete did the assessment as part of his M.S.,Hulson-etal-2008-ICESJM.pdf,1,0,AD-CAM,no comments,../spreadsheets/COLLIE-HERRSIT-2007-editedOJ.xls,yes
CSIRO-MORWONGSE-1913-2007-FULTON,CSIRO,MORWONGSE,FULTON,2008-04-30,2011-07-25,1913-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,MORWONGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-morwong-australia-2007_v2-editedDR-QAQC.xls,yes
CSIRO-TIGERFLATSE-1913-2006-FULTON,CSIRO,TIGERFLATSE,FULTON,2008-04-30,2011-07-25,1913-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,TIGERFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-tiger_flathead-australia-2007_v2-editedDR-QAQC.xls,yes
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,ASMFC,ATLCROAKMATLC,STANTON,2009-08-13,2011-07-27,1973-2002,http://www.asmfc.org/,contact details ,,2004_ASMFC_AtlCroak.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-MATLCROAK-2004-editedDR.xls,yes
NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN,NZMFishLOBSTERWG,RROCKLOBSTERCRA5,JENSEN,2009-04-07,2011-07-29,1945-2002,received from contact,Pall Starr - paul@starrfish.net,,04_08_FAR.pdf,1,0,MSLM,,../spreadsheets/JENSEN-RROCKLOBSTERCRA5-2002-editedDR.xls,yes
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,WGNSSK,POLLNS-VI-IIIa,MINTO,2008-04-14,2011-07-25,1964-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,XSA,Both the catch curves of the total landings data and the residuals from the separable VPA indicate changes in the relative exploitation of age 3 with time. A serious problem with stock forecasts for saithe is the lack of reliable information about year class strength before age 4.,../spreadsheets/MINTO-POLLNS-VI-IIIa-2007-editedDR-QAQC.xls,yes
DFO-HAD5Zejm-1968-2003-PREFONTAINE,DFO,HAD5Zejm,PREFONTAINE,2008-06-04,2011-07-25,1968-2003,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,"There are two timeseries presented for recruits as two ages are used in the assessment; the first is 1 year old recruits and the second 2 year old recruits. Total landings and discards are separated by country 1 = Canada, 2 = USA, 3 = Other. The origin of the two reference points Fref and Bref are unknown.",NAFO-HAD5Zejm-2003.pdf,1,1,ADAPT,NA,../spreadsheets/PREFONTAINE-HAD5Zejm-2003-editedDR-jbQAQC.xls,yes
AFSC-REYEROCKGA-1974-2007-MELNYCHUK,AFSC,REYEROCKGA,MELNYCHUK,2009-04-23,2011-07-25,1974-2007,http://www.afsc.noaa.gov/refm/docs/2008/GOArougheye.pdf,Kalei Shotwell,most time series values provided by Dana Hanselman (pers. Comm.); they were in the assessment only in figures,AFSC-RYEROCKGA-2008-Rougheye rockfish GA.pdf,1,1,AD-CAM,"(1) The rougheye rockfish complex also includes blackspotted rockfish, Sebastes melanostictus, in both the catch and in the assessment. These two species were only recently distinguished, so have been treated as one in this time series; (2) The 2008 report was just an update. A full assessment was done in 2007, filename AFSC-RYEROCKGA-2007-Rougheye rockfish GA.pdf",../spreadsheets/MELNYCHUK-REYEROCKGA-2008-editedDR.xls,yes
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,DFO-MAR,COD4VsW,PREFONTAINE,2008-06-09,2011-07-25,1958-2002,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Robert Mohn, MohnR@dfo-mpo.gc.ca","The total mortality (Z) can be used as an estimate of natural mortality (M) since 1993, the year where the fishary was closed, as fishing mortality (F) is close to 0.",NAFO-COD4VsW-2003.pdf,1,1,Unknown,no comments,../spreadsheets/PREFONTAINE-COD4VsW-2003-editedDR-QAQC.xls,yes
WGNSDS-SOLEIS-1968-2006-MINTO,WGNSDS,SOLEIS,MINTO,2008-04-15,2011-07-25,1968-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSDS-2007.pdf,1,1,XSA,NULL,../spreadsheets/MINTO-SOLEIS-2007-editedDR-QAQC.xls,yes
NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,NEFSC,SCUPNWATLC,TERCEIRO,2009-04-29,2011-07-25,1960-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0902/,,Stock rebuilt,crd0902.pdf,1,1,ASAP,Substantial upgrade from previous survey index approach,../spreadsheets/TERCEIRO-SCUP-2008-editedDR.xls,yes
WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,WGMHSA,ANCHOBAYB,JENNINGS,2008-11-21,2011-07-25,1986-2007,http://www.ices.dk,NULL,NULL,ICES-WGMHSA007.pdf,1,1,BBM,fa,../spreadsheets/JENNINGS-ICES-ANEBISC-1987-2007-editedDR-QAQC.xls,yes
NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN,NZMFishLOBSTERWG,RROCKLOBSTERCRA3,JENSEN,2009-04-07,2011-07-29,1945-2007,received from contact,Pall Starr - paul@starrfish.net,http://fs.fish.govt.nz/Page.aspx?pk=113&dk=21897,09_23_FAR.pdf,1,0,MSLM,,../spreadsheets/JENSEN-RROCKLOBSTERCRA3-2007-editedDR.xls,yes
NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM,NAFO-SC,REDFISHSPP3LN,BAUM,2009-05-28,2011-07-25,1959-2008,http://www.nafo.int/fisheries/frames/fishery.html,contact details ,,NAFO-3LN-Redfishspp-2008.pdf,1,1,ASPIC,ASPICPower2008 chosen as final model,../spreadsheets/BAUM-REDFISHSPP3LN-2008-editedDR.xls,yes
SEFSC-GRAMBERSATLC-1946-2006-JENSEN,SEFSC,GRAMBERSATLC,JENSEN,2008-11-23,2011-07-26,1946-2006,http://www.sefsc.noaa.gov/sedar/download/S15%20SAR%202%20Final.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_GRAMBERSATLC_2008.pdf,1,1,SCA, ,../spreadsheets/JENSEN-GRAMBERSATLC-2008-editedDR.xls,yes
DFO-SG-COD4TVn-1965-2007-PREFONTAINE,DFO-SG,COD4TVn,PREFONTAINE,2008-05-28,2011-07-25,1965-2007,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,this is a test entry only,NAFO-COD4TVn-2007.pdf,1,1,ADAPT,Two different models were used to assess the NAFO 4TVn cod stock; these models took into account different mortalities which can both be found as a time series. The TAC of this stock was 4000 MT in 2006. The value of Bcrp was chosen in the 2003 assessment of this stock (Chouinard et al. 2003) and represents an estimate of various methods. ,../spreadsheets/PREFONTAINE-COD4TVn-2007-editedDR-QAQC.xls,no
