Data_set	Paper	Study	SR_analysis	Diversity_analysis	Evenness_analysis	Country	Continent	Habitat	Life_form	Latitude	Longitude	Plot_type	Plot_size_min	Plot_size_max	Year1_min	Year1_max	Year2_min	Year2_max	Duration	N_time_points	N_plots_Year1	N_plots_Year2	SR_Year1_CT	SR_Year1_STDEV	SR_Year2_CT	SR_Year2_STDEV	Delta_SR_CT	Delta_SR_STDEV	CT	log_SR_ratio	Diversity_Year1_CT	Diversity_Year2_CT	Evenness_Year1_CT	Evenness_Year2_CT	Datathief	Driver
74	35	s35	1	0	0	USA_Oregon	NorthAmerica	Forest	most	44.174	-122.255	permanent	1	1	1992	1992	2007	2007	15	16	24	24	5.208	NA	13.5	NA	NA	NA	mean	0.952493781	NA	NA	NA	NA	yes	Post_fire
75	36	s36	1	0	0	uk	Europe	Forest	understory	51.770	-1.340	permanent	100	100	1973	1976	1999	2002	26	3	59	59	16.3	NA	16.7	NA	NA	NA	mean	0.024243612	NA	NA	NA	NA	yes	Unknown
76	36	s36	1	0	0	uk	Europe	Forest	understory	51.770	-1.340	permanent	100	100	1973	1976	1999	2002	26	3	50	50	16.5	NA	10.3	NA	NA	NA	mean	-0.471216486	NA	NA	NA	NA	yes	Unknown
77	36	s36	1	0	0	uk	Europe	Forest	understory	51.770	-1.340	permanent	100	100	1973	1976	1999	2002	26	3	19	19	14.4	NA	14.9	NA	NA	NA	mean	0.034133006	NA	NA	NA	NA	yes	Unknown
78	36	s36	1	0	0	uk	Europe	Forest	understory	51.770	-1.340	permanent	100	100	1973	1976	1999	2002	26	3	35	35	16.5	NA	12.5	NA	NA	NA	mean	-0.277631737	NA	NA	NA	NA	yes	Unknown
79	37	s37	0	0	0	Puerto_Rico	Caribbean	Forest	tree	18.322	-65.818	permanent	7200	7200	1943	1943	1976	1976	33	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	4.48	4	0.77	0.71	yes	Post_disturbance
80	38	s38	1	0	0	USA_Oregon	NorthAmerica	Forest	understory	42.031	-123.319	semi-permanent	25	25	1949	1951	2007	2007	57	2	55	55	14.5946	5.342311553	3.6515	2.588858676	NA	NA	mean	-1.385513555	NA	NA	NA	NA	yes	Climate
81	38	s38	1	0	0	USA_Oregon	NorthAmerica	Forest	understory	42.031	-123.319	semi-permanent	25	25	1949	1951	2007	2007	57	2	53	53	11.7269	4.56864039	3.4689	2.509780741	NA	NA	mean	-1.218047807	NA	NA	NA	NA	yes	Climate
82	39	s39	1	1	0	Canada_Yukon	NorthAmerica	Tundra	most	61.380	-138.200	semi-permanent	4	4	1968	1968	2010	2010	42	2	1	1	29	NA	36	NA	NA	NA	mean	0.216223108	0.831	0.892	NA	NA	yes	Climate
83	39	s39	1	1	0	Canada_Yukon	NorthAmerica	Tundra	most	61.380	-138.200	semi-permanent	2.5	2.5	1968	1968	2010	2010	42	2	1	1	15	NA	21	NA	NA	NA	mean	0.336472237	0.822	0.859	NA	NA	yes	Climate
84	39	s39	1	1	0	Canada_Yukon	NorthAmerica	Tundra	most	61.380	-138.200	semi-permanent	4.3	4.3	1968	1968	2010	2010	42	2	1	1	27	NA	40	NA	NA	NA	mean	0.393042588	0.738	0.86	NA	NA	yes	Climate
85	39	s39	1	1	0	Canada_Yukon	NorthAmerica	Tundra	most	61.380	-138.200	semi-permanent	2	2	1968	1968	2010	2010	42	2	1	1	16	NA	35	NA	NA	NA	mean	0.782759339	0.761	0.919	NA	NA	yes	Climate
86	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	semi-permanent	1	1	1968	1969	2007	2007	38.5	2	9	9	7	NA	10.3	NA	NA	NA	mean	0.386233746	NA	NA	NA	NA	no	Climate
87	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	semi-permanent	2	9	1968	1969	2007	2007	38.5	2	10	10	22.6	NA	25.7	NA	NA	NA	mean	0.128541086	NA	NA	NA	NA	no	Climate
88	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	semi-permanent	1	6	1968	1969	2007	2007	38.5	2	10	10	34.3	NA	39.6	NA	NA	NA	mean	0.143683764	NA	NA	NA	NA	no	Climate
89	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	permanent	1	1	1981	1981	2007	2007	26	2	5	5	16.4	NA	13.8	NA	NA	NA	mean	-0.172612743	NA	NA	NA	NA	no	Climate
90	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	permanent	1	1	1981	1981	2007	2007	26	2	6	6	27.5	NA	25	NA	NA	NA	mean	-0.09531018	NA	NA	NA	NA	no	Climate
91	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	semi-permanent	4	9	1968	1969	2007	2007	38.5	2	11	11	14.6	NA	14	NA	NA	NA	mean	-0.041964199	NA	NA	NA	NA	no	Climate
92	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	semi-permanent	1	2	1968	1969	2007	2007	38.5	2	9	9	17.3	NA	29.2	NA	NA	NA	mean	0.523462208	NA	NA	NA	NA	no	Climate
93	40	s40	1	0	0	Denmark_Greenland	Europe	Tundra	most	65.617	-37.667	semi-permanent	1	9	1968	1969	2007	2007	38.5	2	13	13	24.5	NA	24.7	NA	NA	NA	mean	0.008130126	NA	NA	NA	NA	no	Climate
94	41	s41	1	1	0	USA_New_Jersey	NorthAmerica	Forest	understory	40.500	-74.570	semi-permanent	1	1	1950	1950	1979	1979	29	3	100	100	33	NA	26	NA	NA	NA	mean	-0.238411023	0.76	0.81	NA	NA	no	Unknown
95	42	s42	0	1	1	Argentina	SouthAmerica	Grassland	most	-38.083	-62.000	semi-permanent	20	20	1993	1993	2003	2003	10	2	3	3	NA	NA	NA	NA	NA	NA	NA	NA	2.7	2.9	0.67	0.6	no	Herbivory_grazing
96	43	s43	1	0	0	France	Europe	Forest	most	43.667	3.833	permanent	320	320	1977	1978	1994	1996	17.5	2	34	34	51.2	13.9	45.8	12.9	NA	NA	mean	-0.111455441	NA	NA	NA	NA	no	Management
97	43	s43	1	0	0	France	Europe	Forest	most	43.667	3.833	permanent	320	320	1977	1978	1994	1996	17.5	2	10	10	56.8	13.4	56.7	7.6	NA	NA	mean	-0.001762115	NA	NA	NA	NA	no	Management
98	44	s44	1	1	0	USA_Washington	NorthAmerica	Successional	most	46.220	-122.200	permanent	250	250	1990	1990	2005	2005	15	16	20	20	6.25	NA	16.9	NA	NA	NA	mean	0.994732158	2.26	1.71	NA	NA	no	Post_disturbance
99	45	s45	1	0	0	USA_Wyoming	NorthAmerica	Forest	herb	43.808	-110.641	permanent	6	6	1975	1975	1991	1991	16	5	1	1	11	NA	20	NA	NA	NA	mean	0.597837001	NA	NA	NA	NA	no	Post_fire
100	45	s45	1	0	0	USA_Wyoming	NorthAmerica	Forest	herb	43.808	-110.641	permanent	6	6	1975	1975	1991	1991	16	5	1	1	21	NA	44	NA	NA	NA	mean	0.739667196	NA	NA	NA	NA	no	Post_fire
101	45	s45	1	0	0	USA_Wyoming	NorthAmerica	Forest	herb	43.808	-110.641	permanent	6	6	1975	1975	1991	1991	16	5	1	1	17	NA	15	NA	NA	NA	mean	-0.125163143	NA	NA	NA	NA	no	Unknown
102	46	s46	0	1	1	USA_North_Carolina	NorthAmerica	Forest	woody	35.050	-83.417	permanent	200	200	1982	1982	1995	1995	13	2	26	26	NA	NA	NA	NA	NA	NA	NA	NA	2.02304	2.55874	0.642056	0.354181	yes	Post_disturbance
103	47	s47	0	0	0	Italy	Europe	Tundra	most	46.317	11.550	permanent	1	1	2001	2001	2008	2008	7	3	16	16	NA	NA	NA	NA	0.4	NA	mean	NA	NA	NA	NA	NA	no	Climate
104	47	s47	0	0	0	Italy	Europe	Tundra	most	46.317	11.550	permanent	1	1	2001	2001	2008	2008	7	3	16	16	NA	NA	NA	NA	-1.2	NA	mean	NA	NA	NA	NA	NA	no	Climate
105	47	s47	0	0	0	Italy	Europe	Tundra	most	46.317	11.550	permanent	1	1	2001	2001	2008	2008	7	3	16	16	NA	NA	NA	NA	0.8	NA	mean	NA	NA	NA	NA	NA	no	Climate
106	47	s47	0	0	0	Italy	Europe	Tundra	most	46.517	11.617	permanent	1	1	2001	2001	2008	2008	7	3	16	16	NA	NA	NA	NA	1.3	NA	mean	NA	NA	NA	NA	NA	no	Climate
107	48	s48	1	0	0	USA_New_Jersey	NorthAmerica	Forest	understory	41.517	-74.817	permanent	8	8	1994	1994	2003	2003	9	4	54	54	5.04	3.76	7.25	4.25	NA	NA	mean	0.363595387	NA	NA	NA	NA	no	Post_disturbance
108	48	s48	1	0	0	USA_New_Jersey	NorthAmerica	Forest	understory	41.517	-74.817	permanent	8	8	1994	1994	2003	2003	9	4	37	37	4.18	2.88	5.38	4.04	NA	NA	mean	0.252377128	NA	NA	NA	NA	no	Post_disturbance
109	49	s49	1	0	0	Finland	Europe	Savanna_Shrubland	most	69.050	20.833	permanent	0.25	0.25	1990	1990	1999	2001	10	2	6	6	23.9444	5.244357539	27.718	7.418769584	NA	NA	mean	0.146347546	NA	NA	NA	NA	yes	Cessation_grazing
